2021-12-21 17:51:33.064 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 83
2021-12-21 17:51:33.174 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 84
2021-12-21 17:51:33.284 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 85
2021-12-21 17:51:33.393 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 86
2021-12-21 17:51:33.502 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 87
2021-12-21 17:51:33.611 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 88
2021-12-21 17:51:33.719 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 89
2021-12-21 17:51:33.830 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 90
2021-12-21 17:51:33.939 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 91
2021-12-21 17:51:34.046 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 92
2021-12-21 17:51:34.156 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 93
2021-12-21 17:51:34.264 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 94
2021-12-21 17:51:34.372 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 95
2021-12-21 17:51:34.481 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 96
2021-12-21 17:51:34.591 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 97
2021-12-21 17:51:34.701 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 98
2021-12-21 17:51:34.808 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 99
2021-12-21 17:51:34.917 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 100
2021-12-21 17:51:35.024 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 101
2021-12-21 17:51:35.133 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 102
2021-12-21 17:51:35.241 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 103
2021-12-21 17:51:35.351 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 104
2021-12-21 17:51:35.459 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 105
2021-12-21 17:51:35.568 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 106
2021-12-21 17:51:35.678 |  INFO | 13632 | [main] | com.frame.kafka.KafkaStart               | 测试 --> 107
